id_team,nom_standard,confederation,aliases
92,Greece,,[]
93,Greece (Ελλάδα),,[]
94,Grenada,,[]
95,Guam,,[]
96,Guatemala,,[]
97,Guayana,,[]
98,Guinea (Guinée),,[]
99,Guinea-Bissau (Guiné-Bissau),,[]
100,Guyana,,[]
101,Haiti (Haïti),,[]
102,Honduras,,[]
103,Hong Kong (香港),,[]
104,Hungary (Magyarország),,[]
105,Iceland,,[]
106,Iceland (Ísland),,[]
107,India (भारत),,[]
108,Indonesia,,[]
109,Iran,,[]
110,Iran (ایران),,[]
111,Iraq (العراق),,[]
112,Ireland (Éire),,[]
113,Irish Free State (Saorstát Éireann),,[]
114,Israel (ישראל),,[]
115,Italy,,[]
116,Italy (Italia),,[]
117,Ivory Coast,,[]
118,Ivory Coast (Côte d'Ivoire),,[]
119,Ivory Coast (Côte d’Ivoire),,[]
120,Jamaica,,[]
121,Japan,,[]
122,Japan (日本),,[]
123,Jordan (الأردن),,[]
124,Kazakhstan (Қазақстан),,[]
125,Kenya,,[]
126,Korea Republic,,[]
127,Kuwait (الكويت),,[]
128,Kyrgyzstan (Кыргызстан),,[]
129,Laos (ນລາວ),,[]
130,Latvia (Latvija),,[]
131,Lebanon (لبنان),,[]
132,Lesotho,,[]
133,Liberia,,[]
134,Libya (ليبيا),,[]
135,Liechtenstein,,[]
136,Lithuania (Lietuva),,[]
137,Luxembourg (Lëtzebuerg),,[]
138,Macao (澳门),,[]
139,Macedonia (Македонија),,[]
140,Madagascar (Madagasikara),,[]
141,Malawi (Malaŵi),,[]
142,Malaysia (مليسيا),,[]
143,Maldives (Divehi Rājjēge),,[]
144,Mali,,[]
145,Malta,,[]
146,Mauritania (موريتانيا),,[]
147,Mauritius,,[]
148,Mexico,,[]
149,Mexico (México),,[]
150,Moldova,,[]
151,Mongolia (Монгол Улс),,[]
152,Montenegro (Црна Гора),,[]
153,Montserrat,,[]
154,Morocco,,[]
155,Morocco (المغرب),,[]
156,Mozambique (Moçambique),,[]
157,Myanmar (ြမန်မာ),,[]
158,Namibia,,[]
159,Nepal (नेपाल),,[]
160,Netherlands,,[]
161,Netherlands (Nederland),,[]
162,New Caledonia (Nouvelle-Calédonie),,[]
163,New Zealand (Aotearoa),,[]
164,Nicaragua,,[]
165,Niger,,[]
166,Nigeria,,[]
167,North Korea (조선),,[]
168,North Yemen (اليمن),,[]
169,Northern Ireland (Ulster),,[]
170,Norway (Norge),,[]
171,Oman (عمان),,[]
172,Pakistan (پاکستان),,[]
173,Palestine (فلسطين),,[]
174,Panama,,[]
175,Panama (Panamá),,[]
176,Papua New Guinea (Papua Niugini),,[]
177,Paraguay,,[]
178,Peru,,[]
179,Peru (Perú),,[]
180,Philippines (Pilipinas),,[]
181,Poland,,[]
182,Poland (Polska),,[]
183,Portugal,,[]
184,Puerto Rico,,[]
185,Qatar,,[]
186,Qatar (قطر),,[]
187,Rhodesia,,[]
188,Romania (România),,[]
189,Russia,,[]
190,Russia (Россия),,[]
191,Rwanda,,[]
192,Saarland,,[]
193,Saint Kitts & Nevis,,[]
194,Saint Lucia,,[]
195,Saint Vincent & The Grenadines,,[]
196,Samoa,,[]
197,San Marino,,[]
198,Saudi Arabia,,[]
199,Saudi Arabia (العربية السعودية),,[]
200,Scotland,,[]
201,Senegal,,[]
202,Senegal (Sénégal),,[]
203,Serbia,,[]
204,Serbia (Србија),,[]
205,Serbia-Montenegro (Србија и Црна Гора),,[]
206,Seychelles,,[]
207,Sierra Leone,,[]
208,Singapore (新加坡),,[]
209,Slovakia (Slovensko),,[]
210,Slovenia (Slovenija),,[]
211,Solomon Islands,,[]
212,Somalia (Soomaaliya),,[]
213,South Africa (Suid-Afrika),,[]
214,South Korea,,[]
215,South Korea (한국),,[]
216,South Vietnam (Việt Nam),,[]
217,South Yemen (اليمن),,[]
218,Soviet Union (СССР),,[]
219,Spain,,[]
220,Spain (España),,[]
221,Sri Lanka (ශ්රී ලංකාව),,[]
222,Sudan (السودان),,[]
223,Surinam (Suriname),,[]
224,Swaziland (Swatini),,[]
225,Sweden,,[]
226,Sweden (Sverige),,[]
227,Switzerland,,[]
228,Switzerland (Schweiz / Suisse),,[]
229,Syria (سوريا),,[]
230,São Tomé e Príncipe,,[]
231,Tahiti,,[]
232,Taiwan (台湾),,[]
233,Tajikistan (Точикистон),,[]
234,Tanzania,,[]
235,Thailand (ประเทศไทย),,[]
236,Togo,,[]
237,Tonga,,[]
238,Trinidad and Tobago,,[]
239,Tunisia,,[]
240,Tunisia (تونس),,[]
241,Turkey (Türkiye),,[]
242,Turkmenistan (Türkmenistan),,[]
243,Turks and Caicos,,[]
244,Tuvalu,,[]
245,US Virgin Islands,,[]
246,USA,,[]
247,Uganda,,[]
248,Ukraine (Україна),,[]
249,United Arab Emirates (الإمارات العربية المتحدة),,[]
250,United States,,[]
251,Upper Volta (Haute-Volta),,[]
252,Uruguay,,[]
253,Uzbekistan (Ўзбекистон),,[]
254,Vanuatu,,[]
255,Venezuela,,[]
256,Vietnam (Việt Nam),,[]
257,Wales,,[]
258,Wales (Cymru),,[]
259,Western Samoa,,[]
260,Yemen (اليمن),,[]
261,Yugoslavia (Југославија),,[]
262,Zaire (Zaïre),,[]
263,Zambia,,[]
264,Zimbabwe,,[]
